epoch,total loss,F1,accuracy
0,0.88159,0.60727,0.644
1,0.66633,0.62664,0.66
2,0.62093,0.63253,0.64844
3,0.58456,0.70789,0.71289
4,0.54921,0.68688,0.70444
5,0.51531,0.7194,0.72933
6,0.49516,0.72497,0.73156
7,0.47095,0.72779,0.74
8,0.4478,0.73935,0.74089
9,0.42603,0.74826,0.75067
10,0.40839,0.74356,0.74933
11,0.38778,0.74535,0.75244
12,0.36967,0.75316,0.75511
13,0.35282,0.75122,0.75244
14,0.33934,0.74845,0.75244
