epoch,total loss,F1,accuracy
0,0.95687,0.50171,0.62444
1,0.68347,0.61807,0.63911
2,0.62002,0.68194,0.69511
3,0.57777,0.67929,0.70844
4,0.53353,0.71865,0.71956
5,0.4961,0.72375,0.73067
6,0.46569,0.71629,0.73467
7,0.43654,0.73385,0.736
8,0.41008,0.73661,0.736
9,0.38145,0.7389,0.74667
10,0.35361,0.73887,0.744
11,0.32772,0.73699,0.73911
12,0.30272,0.73506,0.73733
13,0.28223,0.73829,0.74178
14,0.26779,0.74136,0.74444
