epoch,total loss,F1,accuracy
0,0.89132,0.56289,0.612
1,0.65555,0.5143,0.63556
2,0.60817,0.68003,0.68756
3,0.58214,0.68753,0.69511
4,0.56232,0.70129,0.70311
5,0.52366,0.72829,0.73289
6,0.46957,0.72489,0.72578
7,0.40721,0.72846,0.73333
8,0.32807,0.72891,0.73022
9,0.24682,0.72631,0.732
10,0.17339,0.71042,0.72044
11,0.11202,0.71664,0.71644
12,0.06898,0.72041,0.72222
13,0.04363,0.71586,0.71644
14,0.03023,0.71575,0.716
