epoch,total loss,F1,accuracy
0,0.90481,0.59008,0.63511
1,0.66581,0.63787,0.65867
2,0.60851,0.68604,0.70133
3,0.56618,0.7225,0.72756
4,0.52774,0.72736,0.72844
5,0.48938,0.73111,0.73733
6,0.45813,0.73924,0.73689
7,0.43097,0.75019,0.75333
8,0.40181,0.74497,0.75422
9,0.3725,0.74503,0.74311
10,0.34701,0.74802,0.75378
11,0.31763,0.74063,0.74222
12,0.29444,0.74877,0.75156
13,0.2716,0.7455,0.74667
14,0.25615,0.74398,0.74667
