epoch,total loss,F1,accuracy
0,0.88712,0.55836,0.61244
1,0.66091,0.52214,0.63511
2,0.61777,0.67184,0.676
3,0.58827,0.67194,0.68
4,0.57064,0.69373,0.70089
5,0.53967,0.71641,0.71511
6,0.49982,0.73661,0.73822
7,0.46386,0.73087,0.73111
8,0.41839,0.72329,0.732
9,0.37261,0.73254,0.73467
10,0.32298,0.73853,0.74267
11,0.26929,0.73625,0.73644
12,0.22617,0.73596,0.73689
13,0.18778,0.72991,0.73244
14,0.16325,0.73684,0.73822
