epoch,total loss,F1,accuracy
0,0.85939,0.49881,0.57289
1,0.66638,0.66096,0.66933
2,0.612,0.63621,0.65333
3,0.56398,0.69634,0.69333
4,0.52379,0.70915,0.70978
5,0.48998,0.72835,0.72844
6,0.45677,0.73105,0.73956
7,0.43296,0.74742,0.74889
8,0.40728,0.74301,0.74844
9,0.38048,0.74058,0.74578
10,0.34518,0.747,0.75156
11,0.31775,0.73983,0.74622
12,0.2886,0.74188,0.74978
13,0.26551,0.74242,0.74889
14,0.2469,0.74597,0.74889
