epoch,total loss,F1,accuracy
0,0.89929,0.60178,0.63733
1,0.66301,0.58697,0.61378
2,0.61413,0.69553,0.69644
3,0.57028,0.71937,0.72444
4,0.52498,0.73678,0.73778
5,0.49019,0.73436,0.73867
6,0.46571,0.74092,0.74222
7,0.44042,0.74017,0.75156
8,0.4135,0.75578,0.75644
9,0.38911,0.7535,0.75733
10,0.3523,0.74805,0.75111
11,0.3221,0.75377,0.75867
12,0.29806,0.74867,0.75244
13,0.27483,0.74967,0.75333
14,0.25955,0.74998,0.75333
