epoch,total loss,F1,accuracy
0,0.89527,0.54917,0.62756
1,0.66542,0.63397,0.63956
2,0.61206,0.66822,0.69956
3,0.56817,0.70564,0.72178
4,0.53063,0.73043,0.73067
5,0.49698,0.71624,0.73289
6,0.47751,0.72854,0.73733
7,0.44671,0.73396,0.74578
8,0.42437,0.74436,0.748
